Classifier,Accuracy,Precision,Recall,F1 Score
GridSearchCV,0.5636363636363636,0.5636363636363636,0.5639747424393486,0.5630585898709037
Classifier,Accuracy,Precision,Recall,F1 Score
GridSearchCV,0.5409090909090909,0.5366315789473683,0.5361415752741774,0.5358358922938731
Classifier,Accuracy,Precision,Recall,F1 Score
GridSearchCV,0.5272727272727272,0.5230174731182795,0.5227650382186773,0.522497704315886
Classifier,Accuracy,Precision,Recall,F1 Score
GridSearchCV,0.3781818181818182,0.3702483063618822,0.3781818181818182,0.36852918664142126
Classifier,Accuracy,Precision,Recall,F1 Score
GridSearchCV,0.5272727272727272,0.5230174731182795,0.5227650382186773,0.522497704315886
Classifier,Accuracy,Precision,Recall,F1 Score
GridSearchCV,0.7227272727272728,0.7215237616293688,0.7195912263210369,0.7201776517441982
Classifier,Accuracy,Precision,Recall,F1 Score
GridSearchCV,0.6227272727272727,0.6213250517598343,0.6217181787969425,0.6214053202297278
